uae_tweet_cleaned,translation_status,msa_translation
الشحات ما يستاهل يلعب بدورينا ردووه تسيلي,not verified,الشحات لا يستحق أن يلعب في دورينا، أعيدوه لي لعبت.
لما تسمعونه يقرا قولوا اممين وسوو رتويت عشان غيركم يسمع,verified,"عندما تسمعونه يقرأوا، قولوا ""آمين"" وقوموا بإعادة التغريد لكي يسمع آخرون."
الحكم كان منزل قبل المباراه خذ بلنتيين و الثالث ببلاش,verified,الحكم كان قد أعطى بلنتين قبل المباراة، والثالث مجاناً.
الله يرحبك ع فضله شيخي ولنا الشرف طال عمرك انه انتابعك فعزك المولود اليديد ويجعله من الذريه الصالحه ان شالله,verified,أهلا بك على فضل الشيخ، ولنا الشرف. ندعو أن يطيل الله عمرك. نحن نتابعك ونحمد الله على مولودك الجديد، ونأمل أن يجعله من الذرية الصالحة، إن شاء الله.
هيه والله صدقك,verified,نعم والله، أنا أصدقك.
عامر ليش غياب عامر مؤثر انه باوزا ياعزيزي وليس مهدي,verified,أيها العزيز، لماذا تغيب عامر؟ إن غيابه أمرٌ مؤثر، حيث يكون معزِّيًا وليس مهديًا.
شو تبين ف رموش عيل مافي خلاص لين ما تقولين اموت ف قطوتج,not verified,ماذا تريدين في رموش عيل؟ لا يوجد نهاية حتى تقولي لي أموت في قطة.
لعبته من بين الاقدام هه,verified, لقد لعبتها وأخذتها من بين الأقدام.
انت مب صاحي شكلك مكثر,verified,أنت لست صاحياً، يبدو أنك مرهق.
شركه اعلنت عن نظارات واقع افتراضي تعمل مع طائرات ال الخاصه بالشركه لما تستخدم النظاره بتشوف اللي تشوفه الطياره,verified,الشركة أعلنت عن نظارات واقع افتراضي تعمل مع طائراتها الخاصة. عند استخدام النظارة، يمكن للطيار رؤية ما يراه الطائرة.
ما تقول مباراه اسيويه الي يشوفها يقول مباراه فكاس اتصالات لا معلق ولا جمهور ولا بطيخ,verified,ما تقول مباراة آسيوية. الشخص الذي يشاهدها يقول مباراة في كأس اتصالات، بدون معلق ولا جمهور ولا بطيخ.
هه مرعبتنه ريتا,verified,لقد اخافتنا جدا ريتا.
ارجع الفجيره ولا,verified,ارجع إلى الفجيرة أم لا
عادي ف كل مكان,verified,عادي في كل مكان
اللهم لك الحمد ماشاء احلي برغر انصحكم فيه في الوحده مول,verified,اللهم لك الحمد، ما شاء أشهى برغر أنصحكم به في مول الوحدة.
انت ااءء شوتقوول اونه عريفي من خلفاء الراشدين ياحبيبي اصحي اعقل يارب سامحني,not verified,أنت ماذا تقول؟ أنا عارفٌ بأنك خليفةٌ من خلفاء الراشدين يا حبيبي، انهض واعقل يا رب، سامحني.
اليوم الوطني الف مبروك يا اسعد شعب تذكر قبل ما تنشر اي شي عالسناب انك سفير لدوله الامارات,verified,اليوم الوطني، ألف مبروك يا أسعد شعب. تذكَّر قبل أن تنشر أي شيء على السناب أنك سفير لدولة الإمارات.
شو جيه كانو الكندي هل انته قرار تفتيش الزوجه لهاتف زوجها مطبق في وجهه نظرك هل هذا القرار,verified,ما هو رأيك في قرار تفتيش الزوجة هاتف زوجها؟
الطيب فالطيب سواه الوداعه تلقاه لا دارت عليك الدواير,verified,الجيد في الجيد يجتمعان، بينما الوداعة تجدها ليست دائمة إذا لم تدور الأمور عليك.
لا للتعصب الرياضي نعم للاخلاق الرياضيه ما نقدر نتكلم قوانين والناس تفهم غلط,verified,لا للتعصب الرياضي، نعم للأخلاق الرياضية. لا يمكننا التحدث عن القوانين والناس يفهمون بشكل خاطئ.
الشارجه اسهل فريق ماقدرتوا عليهم,verified,الشارقه أسهل فريق لم تتمكنوا من التعامل معهم.
شو جيه واحد من الثلاثه الشارقه الرياضيه اتصل و فوز وياي بس عطني الاماره و خل الترتيب علي و انا,not verified,ما هو؟
شو اسوي تنحب زين والله شحالكم بعد,verified,ماذا أفعل لكي تحبني بصدق؟ بالله عليكم، كيف حالكم بعد ذلك؟
الزين عزيزي بعد ما يكمل حلاه والزين الي من كوكب ثاني الي تتكلم عنه الي يومك مب قادر يحقق اي انجاز تاريخي لمنتخبه وفي برشلونه تراه ارقامه في الادوار الاقصائيه اقل من عاديه انا من اشوفه لاعب خارق عن العاده افضل من اي لاعب في هالحقبه مهاريا ولكن ينقصه الكثير علشان يكون الافضل,verified,الزين عزيزي بعد أن يكمل حلاه والزين الذي من كوكب آخر الذي تتحدث عنه ولا تستطيع أن تحقق أي إنجاز تاريخي لفريقه وفي برشلونة نسيت أن أرقامه في الأدوار الإقصائية أقل من المعتاد. أعتقد أنه لاعب فائق عن المعتاد وأفضل من أي لاعب في هذه الفترة من حيث المهارة، ولكن لديه الكثير مما ينقصه حتى يكون الأفضل.
شو رايك في الاسم بوخالد,verified,ما رأيك في الاسم يا ابوخالد؟
سلام من دار بوسلطان الكريمھ ل اهل المنامھ واللي حول المنامھ,verified,سلام من دار بوسلطان الكريمة لأهل المنامة والذين حول المنامة
الله يهديك شكلك فاطر,verified,الله يهديك، صورتك تبدو مؤطرة.
شي حلو نشوف اماراتي و بصوت رائع في القران خصوصا في زمن الرقص و اللي مسوين عمرهم مشاهير في السوشيل ميديا,verified,شيء جميل أن نرى إماراتي يتلاوى القرآن بصوت رائع، خصوصًا في زمن الرقص والذين جعلوا أنفسهم مشاهير في وسائل التواصل الاجتماعي.
يوم ما اغرد ايولي فلورز و يوم اغرد يختفون,verified,يوم لا اغرد ياتي لي المتابعين وعندما اغرد يغادرون.
شحنه من امريكا لين بيتك تاخذ يومين عمل بطاقه بنك من اماره ثانيه لين بيتك اسبوع واكثر شركات تهتم بسمعتها وخدماتها وشركات محليه لا تهتم,verified,ارسال الاغراض من امريكا الي بيتك ياخذ يومين عمل بطاقه بنك. الارسال إلي بيتك اسبوع واكثر بعض الشركات تهتم بسمعتها وخدماتها وأخرى لا تهتم
مبرووك لشاعر المليون سيف سالم المنصوري حصوله علي البيرق ومبروك للامارات ومبروك للشعر تستاهل يابو سالم,verified,مبروك لشاعر المليون، سيف سالم المنصوري، حصوله على البيرق. ومبروك للإمارات، ومبروك للشعر، تستحق يا أبو سالم.
